Competency,accuracy,n_responses
fraction,0.6343478921178878,783559
addition,0.6159560833033819,2949220
number sense,0.5934266400513915,3915045
data handling,0.5933220317611538,856518
mensuration,0.5556803355848788,181653
shapes,0.5491592969854407,2753172
place value,0.5375882958265235,1288566
measurement,0.5076887094371157,4805748
subtraction,0.4966426002294113,3187288
multiplication,0.48494443720480523,3675751
division,0.4360577919264603,3185220
