grade,year,count,mean,std,min,25%,50%,75%,max
4,2022-23,104015.0,0.4960587415276643,0.30027526582664893,0.0,0.25,0.5,0.75,1.0
4,2023-24,156940.0,0.47797056199821597,0.28284583962474247,0.0,0.25,0.5,0.7,1.0
4,2024-25,209867.0,0.5782409811928507,0.298455896192716,0.0,0.35,0.65,0.85,1.0
5,2022-23,113164.0,0.5614616839277509,0.2837859408580876,0.0,0.35,0.6,0.8,1.0
5,2023-24,161979.0,0.5136665864093495,0.2752676953906083,0.0,0.3,0.5,0.75,1.0
5,2024-25,204008.0,0.5170451648954943,0.27985471778183585,0.0,0.3,0.55,0.75,1.0
6,2022-23,95523.0,0.6251065188488637,0.26529618705508196,0.0,0.45,0.7,0.85,1.0
6,2023-24,151938.0,0.5451549316168437,0.2808788024795398,0.0,0.3,0.55,0.8,1.0
6,2024-25,181653.0,0.4928082663099425,0.28310456355261876,0.0,0.25,0.5,0.75,1.0
