grade,year,female,male,gap_female_minus_male_pp
4,2022-23,0.5056649630079703,0.4848731714422457,2.079179156572458
4,2023-24,0.4856606527086349,0.4688916369093107,1.6769015799324216
4,2024-25,0.5903978470509084,0.5644676396454996,2.5930207405408745
5,2022-23,0.5734190657927487,0.5478392786253049,2.55797871674438
5,2023-24,0.5213105871348231,0.5046497389525809,1.6660848182242227
5,2024-25,0.5239832871602659,0.508853710156701,1.5129577003564876
6,2022-23,0.6328780676880393,0.6169146740065371,1.5963393681502236
6,2023-24,0.5592367918130818,0.5290309601456947,3.0205831667387106
6,2024-25,0.5038323018649226,0.48028038152586827,2.355192033905429
